Temperatura_K,Presion_MPa,Permitividad
800.0,20.0,1.365
800.0,50.0,2.844
800.0,100.0,7.562
800.0,200.0,12.17
800.0,500.0,17.88
800.0,1000.0,22.91
850.0,0.1,1.001
850.0,1.0,1.012
850.0,2.0,1.024
850.0,5.0,1.063
850.0,10.0,1.134
850.0,20.0,1.307
850.0,50.0,2.269
850.0,100.0,5.571
850.0,200.0,10.1
850.0,500.0,15.83
850.0,1000.0,20.7
900.0,0.1,1.001
900.0,1.0,1.011
900.0,2.0,1.022
900.0,5.0,1.056
900.0,10.0,1.118
900.0,20.0,1.265
900.0,50.0,1.975
900.0,100.0,4.284
900.0,200.0,8.416
900.0,500.0,14.08
900.0,1000.0,18.8
950.0,0.1,1.001
950.0,1.0,1.01
950.0,2.0,1.02
950.0,5.0,1.05
950.0,10.0,1.105
950.0,20.0,1.232
950.0,50.0,1.793
950.0,100.0,3.477
950.0,200.0,7.066
950.0,500.0,12.57
950.0,1000.0,17.15
1000.0,0.1,1.001
1000.0,1.0,1.009
1000.0,2.0,1.018
1000.0,5.0,1.046
1000.0,10.0,1.095
1000.0,20.0,1.206
1000.0,50.0,1.668
1000.0,100.0,2.956
1000.0,200.0,6.003
1000.0,500.0,11.27
1000.0,1000.0,15.72
1050.0,0.1,1.001
1050.0,1.0,1.008
1050.0,2.0,1.016
1050.0,5.0,1.041
1050.0,10.0,1.086
1050.0,20.0,1.184
1050.0,50.0,1.576
1050.0,100.0,2.601
1050.0,200.0,5.172
1050.0,500.0,10.14
1050.0,1000.0,14.45
1100.0,0.1,1.001
1100.0,1.0,1.007
1100.0,2.0,1.015
1100.0,5.0,1.038
1100.0,10.0,1.078
1100.0,20.0,1.167
1100.0,50.0,1.505
1100.0,100.0,2.347
1100.0,200.0,4.523
1100.0,500.0,9.16
1100.0,1000.0,13.34
1150.0,0.1,1.001
1150.0,1.0,1.007
1150.0,2.0,1.014
1150.0,5.0,1.035
1150.0,10.0,1.072
1150.0,20.0,1.151
1150.0,50.0,1.449
1150.0,100.0,2.158
1150.0,200.0,4.012
1150.0,500.0,8.309
1150.0,1000.0,12.35
1200.0,0.1,1.001
1200.0,1.0,1.006
1200.0,2.0,1.013
1200.0,5.0,1.032
1200.0,10.0,1.066
1200.0,20.0,1.139
1200.0,50.0,1.403
1200.0,100.0,2.011
1200.0,200.0,3.606
1200.0,500.0,7.569
1200.0,1000.0,11.47
